"plot","site","alt","long_garmin","lat_garmin","x_garmin","y_garmin","z_garmin","x_trimble","y_trimble","z_trimble","x_diff","y_diff","date","inclin_down","inclin_dir","X","x","y","z","long","lat","location"
"P001",3,20,NA,NA,NA,NA,NA,476684.487,7151237.69,20.075,NA,NA,"2011-07-02",30,165,NA,476684.487,7151237.69,20.075,-51.4851247571479,64.4857874099018,"<Point><coordinates>-51.4851247571479,64.4857874099018,20.075</coordinates></Point>"
"P002",3,20,NA,NA,NA,NA,NA,476676.194,7151232.187,20.069,NA,NA,"2011-07-02",20,170,NA,476676.194,7151232.187,20.069,-51.4852964264861,64.4857374622038,"<Point><coordinates>-51.4852964264861,64.4857374622038,20.069</coordinates></Point>"
"P003",3,20,NA,NA,NA,NA,NA,476667.629,7151226.435,19.973,NA,NA,"2011-07-02",25,180,NA,476667.629,7151226.435,19.973,-51.4854737148054,64.4856852613404,"<Point><coordinates>-51.4854737148054,64.4856852613404,19.973</coordinates></Point>"
"P004",3,20,NA,NA,NA,NA,NA,476660.456,7151219.314,20.007,NA,NA,"2011-07-02",20,165,NA,476660.456,7151219.314,20.007,-51.485621822715,64.4856208716385,"<Point><coordinates>-51.485621822715,64.4856208716385,20.007</coordinates></Point>"
"P005",3,20,NA,NA,NA,NA,NA,476652.529,7151213.147,19.971,NA,NA,"2011-07-02",15,170,NA,476652.529,7151213.147,19.971,-51.4857857694363,64.4855649903539,"<Point><coordinates>-51.4857857694363,64.4855649903539,19.971</coordinates></Point>"
"P006",3,20,-51.48603,64.485544,476640.7732,7151210.898,21.45591,476643.739,7151208.205,20.047,-2.965757,2.692722999,"2011-07-02",12,170,NA,476640.7732,7151210.898,21.45591,-51.4860300009448,64.485544002486,"<Point><coordinates>-51.4860300009448,64.485544002486,21.45591</coordinates></Point>"
"P007",3,20,-51.495587,64.484791,476180.8036,7151130.536,23.819714,476180.811,7151128.073,20,-0.007375,2.463182,"2011-07-03",10,270,NA,476180.8036,7151130.536,23.819714,-51.495587000481,64.4847909983683,"<Point><coordinates>-51.495587000481,64.4847909983683,23.819714</coordinates></Point>"
"P008",3,20,NA,NA,NA,NA,NA,476176.077,7151137.201,19.955,NA,NA,"2011-07-03",28,285,NA,476176.077,7151137.201,19.955,-51.4956864213057,64.4848504728758,"<Point><coordinates>-51.4956864213057,64.4848504728758,19.955</coordinates></Point>"
"P009",3,20,NA,NA,NA,NA,NA,476171.15,7151146.068,19.963,NA,NA,"2011-07-03",28,262,NA,476171.15,7151146.068,19.963,-51.4957903697315,64.4849296920076,"<Point><coordinates>-51.4957903697315,64.4849296920076,19.963</coordinates></Point>"
"P010",3,20,NA,NA,NA,NA,NA,476165.818,7151154.567,20.088,NA,NA,"2011-07-03",26,288,NA,476165.818,7151154.567,20.088,-51.4959026851506,64.4850055805826,"<Point><coordinates>-51.4959026851506,64.4850055805826,20.088</coordinates></Point>"
"P011",3,20,NA,NA,NA,NA,NA,476161.22,7151164.654,20.151,NA,NA,"2011-07-03",16,260,NA,476161.22,7151164.654,20.151,-51.4959999880974,64.4850957697879,"<Point><coordinates>-51.4959999880974,64.4850957697879,20.151</coordinates></Point>"
"P012",3,20,-51.496126,64.485154,476155.2144,7151171.19,23.424858,476154.787,7151172.774,20.073,0.427414,-1.583644,"2011-07-03",22,248,NA,476155.2144,7151171.19,23.424858,-51.4961260002325,64.4851539968003,"<Point><coordinates>-51.4961260002325,64.4851539968003,23.424858</coordinates></Point>"
"P013",3,20,-51.505808,64.485408,475690.1116,7151203.167,20.17771,475689.432,7151196.632,19.958,0.679605,6.535383,"2011-07-04",3,204,NA,475690.1116,7151203.167,20.17771,-51.5058080000509,64.4854079965597,"<Point><coordinates>-51.5058080000509,64.4854079965597,20.17771</coordinates></Point>"
"P014",3,20,NA,NA,NA,NA,NA,475681.291,7151190.362,19.947,NA,NA,"2011-07-04",8,205,NA,475681.291,7151190.362,19.947,-51.5059893953938,64.4852924656724,"<Point><coordinates>-51.5059893953938,64.4852924656724,19.947</coordinates></Point>"
"P015",3,20,NA,NA,NA,NA,NA,475672.152,7151186.34,20.075,NA,NA,"2011-07-04",17,180,NA,475672.152,7151186.34,20.075,-51.5061788706488,64.4852557222676,"<Point><coordinates>-51.5061788706488,64.4852557222676,20.075</coordinates></Point>"
"P016",3,20,NA,NA,NA,NA,NA,475662.531,7151181.414,19.956,NA,NA,"2011-07-04",12,155,NA,475662.531,7151181.414,19.956,-51.5063782236511,64.4852108324658,"<Point><coordinates>-51.5063782236511,64.4852108324658,19.956</coordinates></Point>"
"P017",3,20,NA,NA,NA,NA,NA,475654.195,7151175.862,20.089,NA,NA,"2011-07-04",8,145,NA,475654.195,7151175.862,20.089,-51.5065507369985,64.4851604172548,"<Point><coordinates>-51.5065507369985,64.4851604172548,20.089</coordinates></Point>"
"P018",3,20,NA,NA,NA,NA,NA,475645.434,7151173.306,19.894,NA,NA,"2011-07-04",8,173,NA,475645.434,7151173.306,19.894,-51.5067325895659,64.4851368547229,"<Point><coordinates>-51.5067325895659,64.4851368547229,19.894</coordinates></Point>"
"P019",3,100,-51.486105,64.488219,476639.4512,7151509.021,100.437157,476640.532,7151508.749,101.678,-1.080778,0.272208001,"2011-07-04",20,142,NA,476639.4512,7151509.021,100.437157,-51.4861050004175,64.488218998136,"<Point><coordinates>-51.4861050004175,64.488218998136,100.437157</coordinates></Point>"
"P020",3,100,NA,NA,NA,NA,NA,476635.514,7151500.123,101.697,NA,NA,"2011-07-04",23,135,NA,476635.514,7151500.123,101.697,-51.4861855073254,64.4881388849992,"<Point><coordinates>-51.4861855073254,64.4881388849992,101.697</coordinates></Point>"
"P021",3,100,NA,NA,NA,NA,NA,476630.289,7151491.753,101.633,NA,NA,"2011-07-04",28,178,NA,476630.289,7151491.753,101.633,-51.4862928941688,64.4880634210984,"<Point><coordinates>-51.4862928941688,64.4880634210984,101.633</coordinates></Point>"
"P022",3,100,NA,NA,NA,NA,NA,476625.988,7151483.133,101.676,NA,NA,"2011-07-04",23,168,NA,476625.988,7151483.133,101.676,-51.4863810142352,64.4879857773684,"<Point><coordinates>-51.4863810142352,64.4879857773684,101.676</coordinates></Point>"
"P023",3,100,NA,NA,NA,NA,NA,476618.05,7151476.979,101.611,NA,NA,"2011-07-04",28,168,NA,476618.05,7151476.979,101.611,-51.4865452045033,64.4879300111406,"<Point><coordinates>-51.4865452045033,64.4879300111406,101.611</coordinates></Point>"
"P024",3,100,NA,NA,NA,NA,NA,476609.225,7151472.038,101.568,NA,NA,"2011-07-04",24,204,NA,476609.225,7151472.038,101.568,-51.4867280439799,64.4878850680728,"<Point><coordinates>-51.4867280439799,64.4878850680728,101.568</coordinates></Point>"
"P025",3,100,-51.492909,64.491074,476314.9495,7151829.697,97.806007,476314.508,7151830.872,101.642,0.441486,-1.175024,"2011-07-05",28,305,NA,476314.9495,7151829.697,97.806007,-51.4929089997069,64.4910740002189,"<Point><coordinates>-51.4929089997069,64.4910740002189,97.806007</coordinates></Point>"
"P026",3,100,NA,NA,NA,NA,NA,476313.59,7151840.968,101.876,NA,NA,"2011-07-05",36,306,NA,476313.59,7151840.968,101.876,-51.4929391122252,64.4911750411076,"<Point><coordinates>-51.4929391122252,64.4911750411076,101.876</coordinates></Point>"
"P027",3,100,NA,NA,NA,NA,NA,476312.759,7151850.332,101.557,NA,NA,"2011-07-05",26,265,NA,476312.759,7151850.332,101.557,-51.4929579186145,64.4912590071465,"<Point><coordinates>-51.4929579186145,64.4912590071465,101.557</coordinates></Point>"
"P028",3,100,NA,NA,NA,NA,NA,476305.003,7151856.592,101.628,NA,NA,"2011-07-05",22,274,NA,476305.003,7151856.592,101.628,-51.4931203343226,64.4913146381265,"<Point><coordinates>-51.4931203343226,64.4913146381265,101.628</coordinates></Point>"
"P029",3,100,NA,NA,NA,NA,NA,476303.42,7151866.619,101.557,NA,NA,"2011-07-05",16,295,NA,476303.42,7151866.619,101.557,-51.4931548978847,64.4914045008751,"<Point><coordinates>-51.4931548978847,64.4914045008751,101.557</coordinates></Point>"
"P030",3,100,NA,NA,NA,NA,NA,476301.048,7151876.47,101.481,NA,NA,"2011-07-05",22,250,NA,476301.048,7151876.47,101.481,-51.4932058525952,64.4914927293492,"<Point><coordinates>-51.4932058525952,64.4914927293492,101.481</coordinates></Point>"
"P031",3,100,NA,NA,NA,NA,NA,476253.587,7152382.487,99.183,NA,NA,"2012-07-13",28,285,NA,476253.587,7152382.487,99.183,-51.4942755242585,64.4960299469745,"<Point><coordinates>-51.4942755242585,64.4960299469745,99.183</coordinates></Point>"
"P032",3,100,NA,NA,NA,NA,NA,476246.567,7152388.651,99.027,NA,NA,"2012-07-13",20,280,NA,476246.567,7152388.651,99.027,-51.4944226364362,64.4960847664641,"<Point><coordinates>-51.4944226364362,64.4960847664641,99.027</coordinates></Point>"
"P033",3,100,NA,NA,NA,NA,NA,476240.997,7152396.87,99.034,NA,NA,"2012-07-13",15,268,NA,476240.997,7152396.87,99.034,-51.4945399022808,64.4961581268371,"<Point><coordinates>-51.4945399022808,64.4961581268371,99.034</coordinates></Point>"
"P034",3,100,NA,NA,NA,NA,NA,476236.646,7152405.812,99.11,NA,NA,"2012-07-13",12,315,NA,476236.646,7152405.812,99.11,-51.4946319137942,64.4962380598794,"<Point><coordinates>-51.4946319137942,64.4962380598794,99.11</coordinates></Point>"
"P035",3,100,NA,NA,NA,NA,NA,476236.149,7152415.734,99.5,NA,NA,"2012-07-13",22,308,NA,476236.149,7152415.734,99.5,-51.4946438675333,64.4963270559657,"<Point><coordinates>-51.4946438675333,64.4963270559657,99.5</coordinates></Point>"
"P036",3,100,NA,NA,NA,NA,NA,476237.438,7152425.635,99.531,NA,NA,"2012-07-13",16,335,NA,476237.438,7152425.635,99.531,-51.4946186439626,64.4964159884895,"<Point><coordinates>-51.4946186439626,64.4964159884895,99.531</coordinates></Point>"
"P037",3,200,NA,NA,NA,NA,NA,476659.488,7151878.004,199.978,NA,NA,"2012-07-13",20,176,NA,476659.488,7151878.004,199.978,-51.4857468235346,64.4915312931406,"<Point><coordinates>-51.4857468235346,64.4915312931406,199.978</coordinates></Point>"
"P038",3,200,NA,NA,NA,NA,NA,476649.47,7151861.978,198.948,NA,NA,"2012-07-13",10,145,NA,476649.47,7151861.978,198.948,-51.4859527492845,64.491386802409,"<Point><coordinates>-51.4859527492845,64.491386802409,198.948</coordinates></Point>"
"P039",3,200,NA,NA,NA,NA,NA,476632.47,7151852.097,199.962,NA,NA,"2012-07-13",23,170,NA,476632.47,7151852.097,199.962,-51.4863049492285,64.4912969711775,"<Point><coordinates>-51.4863049492285,64.4912969711775,199.962</coordinates></Point>"
"P040",3,200,NA,NA,NA,NA,NA,476622.492,7151841.936,199.996,NA,NA,"2012-07-13",18,192,NA,476622.492,7151841.936,199.996,-51.4865109732278,64.4912051095919,"<Point><coordinates>-51.4865109732278,64.4912051095919,199.996</coordinates></Point>"
"P041",3,200,NA,NA,NA,NA,NA,476607.899,7151832.081,199.976,NA,NA,"2012-07-13",18,200,NA,476607.899,7151832.081,199.976,-51.4868130832523,64.4911156759593,"<Point><coordinates>-51.4868130832523,64.4911156759593,199.976</coordinates></Point>"
"P042",3,200,NA,NA,NA,NA,NA,476597.454,7151822.274,199.998,NA,NA,"2012-07-13",12,200,NA,476597.454,7151822.274,199.998,-51.487028878979,64.4910269579887,"<Point><coordinates>-51.487028878979,64.4910269579887,199.998</coordinates></Point>"
"P043",3,200,NA,NA,NA,NA,NA,476545.049,7152364.67,200.102,NA,NA,"2012-07-13",24,334,NA,476545.049,7152364.67,200.102,-51.4882062332383,64.4958903121924,"<Point><coordinates>-51.4882062332383,64.4958903121924,200.102</coordinates></Point>"
"P044",3,200,NA,NA,NA,NA,NA,476549.264,7152373.794,199.989,NA,NA,"2012-07-13",22,312,NA,476549.264,7152373.794,199.989,-51.4881199636419,64.4959724734464,"<Point><coordinates>-51.4881199636419,64.4959724734464,199.989</coordinates></Point>"
"P045",3,200,NA,NA,NA,NA,NA,476555.494,7152381.638,200.048,NA,NA,"2012-07-13",20,340,NA,476555.494,7152381.638,200.048,-51.4879915488255,64.4960432881018,"<Point><coordinates>-51.4879915488255,64.4960432881018,200.048</coordinates></Point>"
